epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
90,1201.4,0.51669,0.33545,0.84668,0.97839,1,0.995,0.75486,0.84541,0.32486,0.89603,0.000198206,0.000198206,0.000198206
91,1214.97,0.52396,0.33428,0.83226,0.97838,1,0.995,0.73277,0.86866,0.33554,0.91881,0.000181703,0.000181703,0.000181703
92,1228.32,0.49782,0.32171,0.83728,0.97574,1,0.995,0.69148,0.8549,0.34025,0.91783,0.0001652,0.0001652,0.0001652
93,1241.66,0.48219,0.31069,0.83232,0.97787,1,0.995,0.69074,0.95931,0.3478,0.94699,0.000148696,0.000148696,0.000148696
94,1255.09,0.46488,0.30323,0.8221,0.97666,1,0.995,0.73246,0.97267,0.34579,0.9536,0.000132193,0.000132193,0.000132193
95,1268.51,0.46083,0.30819,0.80823,0.97652,1,0.995,0.72818,0.98925,0.33085,0.95269,0.00011569,0.00011569,0.00011569
96,1281.95,0.46142,0.30465,0.81512,0.97956,1,0.995,0.72829,0.95033,0.30958,0.93872,9.91865e-05,9.91865e-05,9.91865e-05
97,1295.25,0.4535,0.29777,0.81438,0.97945,1,0.995,0.72211,0.94308,0.32306,0.93354,8.26832e-05,8.26832e-05,8.26832e-05
98,1308.76,0.45651,0.30154,0.81356,0.97994,1,0.995,0.71545,0.9468,0.34221,0.9356,6.61799e-05,6.61799e-05,6.61799e-05
99,1322.08,0.45588,0.29972,0.82073,0.98027,1,0.995,0.71759,0.9392,0.34047,0.93683,4.96766e-05,4.96766e-05,4.96766e-05
100,1335.53,0.4415,0.29425,0.80606,0.98081,1,0.995,0.73033,0.9096,0.33182,0.93059,3.31733e-05,3.31733e-05,3.31733e-05
